escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
fase: compra degradada en temprana,9,1.155069959565253,0.88067286755953,1.5149627752099328,0.7594884333053931,2.0364842074958456
fase: compra degradada en temprana,10,1.1534437159377429,0.8761188514638236,1.5185524242668396,0.7476799766256577,2.068609556803293
fase: compra degradada en temprana,11,1.1191819938602003,0.8519567808745319,1.4702252080148182,0.7854574742132348,2.0795806396128627
fase: compra degradada en temprana,12,1.1165496249726194,0.8498569359273273,1.4669328593125741,0.743034896852481,2.074145653269157
fase: compra degradada en temprana,13,1.0138776034936943,0.7753169215988004,1.3258420733889824,0.7450674444638357,2.16926277288325
fase: compra degradada en temprana,14,1.2787673584884114,0.9678606798652251,1.6895468440386876,0.7576596961052537,2.066819663013209
fase: compra degradada en temprana,15,1.0325201086723568,0.789361781820531,1.3505819503371435,0.7026430736858615,1.949700278970646
fase: compra degradada en temprana,16,1.1739982551045929,0.8904890119509661,1.5477696911374377,0.7593366482393361,2.168194973421419
fase: compra degradada en temprana,17,1.0698100231947218,0.8215376295589292,1.3931114589874016,0.6768593520025885,2.0768428629816214
fase: compra degradada en temprana,18,1.2055927377412745,0.9104850005405516,1.5963512286655919,0.7774119986385889,2.1459378516487018
fase: compra degradada en temprana,19,0.9696805992331203,0.7416965263924692,1.2677428450454322,0.7140752711350955,2.0869728960674654
fase: compra degradada en temprana,20,1.502360834787263,1.1099824255635833,2.0334448779733303,0.8596094432197434,2.213211890636742
fase: venta degradada en tardia,1,0.9815016930133867,0.7215078266939488,1.3351838160957041,0.7302746425955706,2.084752003241099
fase: venta degradada en tardia,2,0.8597395599513132,0.6399764155520236,1.1549677347214558,0.7040985382485347,1.9681499053644083
fase: venta degradada en tardia,3,0.9648195526506104,0.7155283481118414,1.3009642058673854,0.733595487043551,1.955655882483848
fase: venta degradada en tardia,4,1.1371299245237976,0.8346429874238206,1.5492425920196424,0.7315968840328354,1.9484413979616124
fase: venta degradada en tardia,5,0.8285641651382182,0.6179363171104673,1.110985965287528,0.6933555469009958,1.9905494622938493
fase: venta degradada en tardia,6,1.0241927191460238,0.7593458281418481,1.3814136946252835,0.7349678200643552,2.072590759050796
fase: venta degradada en tardia,7,1.1333190527577195,0.8281395819047969,1.550960856609932,0.753194881508912,2.1425047979568745
fase: venta degradada en tardia,8,0.8958259666226721,0.6675461870529001,1.2021702438573736,0.7011073640769074,2.000582557912133
fase: venta degradada en tardia,9,0.9763255412089131,0.7239729998461918,1.3166396573068153,0.7204086130511135,2.0033040849624157
fase: venta degradada en tardia,10,1.0891609506700717,0.7986931210291354,1.485265798879042,0.750410629959201,2.0557419206601817
fase: venta degradada en tardia,11,1.1892045356853416,0.8706569020363334,1.6242993358083695,0.7601513310104272,2.092784811538109
fase: venta degradada en tardia,12,0.8840564803737003,0.6606923202625528,1.1829346830914458,0.7124838954893435,2.0203154902196467
fase: venta degradada en tardia,13,0.8394233436868561,0.6268353331226946,1.1241094952579829,0.7130952623891041,1.9927331181385324
fase: venta degradada en tardia,14,0.9690641626398737,0.7175529233222008,1.308733224812248,0.7339458551846348,2.0258914051889305
fase: venta degradada en tardia,15,0.9307914470949439,0.692326574115231,1.2513931291634928,0.7307455868568558,2.0310426778661292
fase: venta degradada en tardia,16,0.8409164751376044,0.6213172995052046,1.138131062375046,0.6946123202972692,2.005445943182039
fase: venta degradada en tardia,17,0.9717065189396347,0.7165142524312498,1.3177875467876765,0.7372014459893637,1.9818495373290415
fase: venta degradada en tardia,18,1.2371081632537708,0.9088247365539852,1.68397331854337,0.7087655427178002,1.981979323691051
fase: venta degradada en tardia,19,1.0784132210592705,0.7936859582829495,1.465283671984568,0.7508683188136273,2.1706261989577533
fase: venta degradada en tardia,20,0.9138488032974704,0.6846526082769105,1.2197713485529456,0.7147599236765662,1.9064220350552756
fase: compra degradada en tardia,1,0.9767349978570126,0.7627959138704703,1.2506769355882235,0.7694557592389251,2.23937256204871
fase: compra degradada en tardia,2,0.9037232575254625,0.7050468131299277,1.158385104340479,0.7306583074750003,2.258415336557471
fase: compra degradada en tardia,3,1.086413037490133,0.836993702201234,1.4101579079083266,0.8227466379006841,2.364007152364807
fase: compra degradada en tardia,4,0.8598711247876458,0.6767871216392942,1.092482891005181,0.725233354871126,2.168761840918513
fase: compra degradada en tardia,5,0.8123313309459108,0.6434835458126684,1.0254841720979457,0.6905801264499156,2.126912213845994
fase: compra degradada en tardia,6,0.9186797971656081,0.7180792811378354,1.1753194833625094,0.7574911703475834,2.3165675243663344
fase: compra degradada en tardia,7,1.1589532977485217,0.8955391813671072,1.4998481074962242,0.8091895761824208,2.436946125801633
fase: compra degradada en tardia,8,0.9705037280593108,0.7631678268962891,1.2341682300831813,0.7458616029854956,2.274338130837125
fase: compra degradada en tardia,9,0.9627965210170839,0.7494108802507234,1.236941129774457,0.7616671960583873,2.4498396658127066
fase: compra degradada en tardia,10,1.0070096607211074,0.7884549105170362,1.2861464152980615,0.7574879752426321,2.2646172450442466
fase: compra degradada en tardia,11,0.9755979051634975,0.76627674960444,1.2420985930353872,0.7683549304830467,2.215128142573891
fase: compra degradada en tardia,12,1.0426892298069586,0.8080867864737953,1.3454010734411188,0.7971930595387234,2.309017984591684
