fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2023-11-06,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,307,0,288,21,193,0,196,0,0,41,70,28,0,47,23,76,12,0,10,1,4
2023-11-07,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,262,0,355,13,341,0,142,0,2,20,82,32,0,65,25,77,5,0,12,1,10
2023-11-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,371,37,206,0,240,0,7,37,115,33,0,49,46,73,11,0,2,0,3
2023-11-09,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,192,0,528,171,481,0,396,0,5,16,75,22,0,17,47,67,21,0,7,0,6
2023-11-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,187,0,497,47,277,0,235,0,1,30,87,77,0,8,36,84,6,2,3,0,13
2023-11-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,316,20,371,0,42,0,0,10,71,8,0,4,12,35,0,0,1,2,6
2023-11-12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,249,34,195,0,55,0,1,12,52,10,0,2,6,84,1,2,0,0,1
2023-11-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,122,0,536,19,220,0,288,0,1,22,39,34,0,6,16,58,5,3,0,0,8
2023-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,425,11,269,0,297,0,0,41,74,37,0,9,12,57,6,0,5,0,10
2023-11-15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151,0,383,14,331,0,338,0,1,29,82,33,0,29,28,79,7,0,7,0,37
2023-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205,0,364,36,428,0,236,0,2,16,131,41,0,93,36,89,0,0,14,0,88
2023-11-17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,168,0,343,26,390,0,307,0,2,48,260,44,0,73,42,82,6,2,20,1,72
2023-11-18,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,57,0,201,8,103,0,108,0,1,7,227,12,0,28,2,17,0,0,5,0,40
2023-11-19,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,53,0,202,4,96,0,81,0,0,12,190,8,0,22,9,30,2,1,2,2,18
2023-11-20,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,246,12,221,0,601,0,9,51,1247,25,0,60,47,59,2,1,4,0,17
2023-11-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,351,30,332,0,1457,0,7,50,475,49,0,46,22,61,1,0,9,1,27
2023-11-22,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,165,0,395,43,307,0,986,0,3,38,197,94,0,40,59,61,1,1,4,0,19
2023-11-23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,204,7,45,0,164,0,0,10,94,14,0,33,188,16,0,0,5,0,7
2023-11-24,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,109,0,310,2,95,0,241,0,0,15,80,24,0,11,39,20,4,0,0,0,7
2023-11-25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,78,0,165,5,39,0,85,0,1,19,43,14,0,10,30,22,4,0,0,0,3
2023-11-26,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,0,189,5,109,0,170,0,1,25,100,48,0,43,29,35,4,0,0,0,3
2023-11-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,393,15,264,0,227,0,2,20,91,17,0,20,31,49,3,0,0,0,6
2023-11-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,603,10,236,0,239,0,0,17,89,23,0,14,23,53,0,0,2,0,66
2023-11-29,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,150,0,1028,27,349,0,122,0,1,12,106,12,0,24,36,155,3,0,3,3,57
2023-11-30,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,548,18,681,0,210,0,0,10,69,11,0,18,17,85,1,0,4,0,29
2023-12-01,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,144,0,507,13,428,0,225,0,0,16,116,28,0,28,28,79,2,1,7,0,87
2023-12-02,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,122,0,248,13,116,0,84,0,0,16,49,44,0,18,20,60,2,0,8,0,60
2023-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,244,7,98,0,36,0,1,6,46,21,0,8,12,21,1,0,5,0,20
2023-12-04,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,98,0,542,21,120,0,237,0,2,23,50,27,0,36,22,69,9,2,9,0,26
2023-12-05,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,156,0,471,15,194,0,166,0,9,21,42,21,0,27,18,84,6,0,27,0,27
2023-12-06,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,167,0,862,15,266,0,161,0,0,32,49,49,0,29,18,143,9,0,15,1,20
